control,name
AllDamage,All Damage
DamageVsCC,Damage Vs CC
DamageVsChilled,Damage Vs Chilled
DamageVsClose,Damage Vs Close
DamageVsDazed,Damage Vs Dazed
DamageVsDistant,Damage Vs Distant
DamageVsElites,Damage Vs Elites
DamageVsFrozen,Damage Vs Frozen
DamageVsHealthy,Damage Vs Healthy
DamageVsInjured,Damage Vs Injured
DamageVsKnockedDown,Damage Vs Knocked Down
DamageVsPoisoned,Damage Vs Poisoned
DamageVsSlowed,Damage Vs Slowed
DamageVsStunned,Damage Vs Stunned
DamageVsTrapped,Damage Vs Trapped
DamagewhileHealthy,Damage while Healthy
DamagewithBasic,Damage with Basic
DamagewithCold,Damage with Cold
DamagewithCore,Damage with Core
DamagewithCuttthroat,Damage with Cuttthroat
DamagewithDualWielding,Damage with Dual Wielding
DamagewithImbued,Damage with Imbued
DamagewithImbuement,Damage with Imbuement
DamagewithMarksman,Damage with Marksman
DamagewithPoison,Damage with Poison
DamagewithRanged,Damage with Ranged
DamagewithShadow,Damage with Shadow
DamagewithTrap,Damage with Trap
DamagefromDodging,Damage from Dodging
