control,name
CriticalStrikeChance,Critical Strike Chance
CriticalStrikeChancevsInjured,Critical Strike Chance vs Injured
CriticalStrikeDamage,Critical Strike Damage
CriticalStrikeDamagevsCC,Critical Strike Damage vs CC
CriticalStrikeDamagevsVulnerable,Critical Strike Damage vs Vulnerable
CriticalStrikeDamagewithCold,Critical Strike Damage with Cold
CriticalStrikeDamagewithCore,Critical Strike Damage with Core
CriticalStrikeDamagewithFire,Critical Strike Damage with Fire
CriticalStrikeDamagewithLightning,Critical Strike Damage with Lightning
VulnerableDamage,Vulnerable Damage
OverpowerChance,Overpower Chance
OverpowerDamage,Overpower Damage
BaseHealth,Base Health
Fortify,Fortify
