control,name
skillBattleFlay,Battle Flay
skillBruteForce,Brute Force
skillCounteroffenisve,Counteroffenisve
skillCuttotheBone,Cut to the Bone
skillEnhancedDeathBlow,Enhanced Death Blow
skillEnhancedLungingStrike,Enhanced Lunging Strike
skillExpertiseOneHandedMace,Expertise (One-Handed Mace)
skillExpertiseTwoHandedAxe,Expertise (Two-Handed Axe)
skillExpertiseTwoHandedMace,Expertise (Two-Handed Mace)
skillExpertiseTwoHandedSword,Expertise (Two-Handed Sword)
skillFuriousHammeroftheAncients,Furious Hammer of the Ancients
skillFuriousUpheaval,Furious Upheaval
skillHeavyHanded,Heavy Handed
skillPitFighter,Pit Fighter
skillPowerWarCry,Power War Cry
skillPrimeCalloftheAncients,Prime Call of the Ancients
skillPrimeIronMaelstromCSD,Prime Iron Maelstrom (CSD)
skillSlayingStrike,Slaying Strike
skillSupremeWrathoftheBerserker,Supreme Wrath of the Berserker
skillUnbridledRage,Unbridled Rage
skillViolentHammeroftheAncients,Violent Hammer of the Ancients
skillViolentRend,Violent Rend
skillViolentWhirlwind,Violent Whirlwind
skillWalkingArsenal,Walking Arsenal
skillWallop,Wallop
skillWarCry,War Cry
