control,name
CriticalStrikeChance,Critical Strike Chance
CriticalStrikeChancevsInjured,Critical Strike Chance vs Injured
CriticalStrikeDamage,Critical Strike Damage
CriticalStrikeDamagevsCC,Critical Strike Damage vs CC
CriticalStrikeDamagevsVulnerable,Critical Strike Damage vs Vulnerable
CriticalStrikeDamagewithCore,Critical Strike Damage with Core
CriticalStrikeDamagewithEarth,Critical Strike Damage with Earth
CriticalStrikeDamagewithLightning,Critical Strike Damage with Lightning
CriticalStrikeDamagewithPoison,Critical Strike Damage with Poison
CriticalStrikeDamagewithEarth,Critical Strike Damage with Earth
CriticalStrikeDamagewithWerewolf,Critical Strike Damage with Werewolf
VulnerableDamage,Vulnerable Damage
OverpowerChance,Overpower Chance
OverpowerDamage,Overpower Damage
BaseHealth,Base Health
Fortify,Fortify
