control,name
skillAvianWrath,Avian Wrath
skillBestialRampage,Bestial Rampage
skillBestialRampage,Bestial Rampage
skillCalloftheWild,Call of the Wild
skillCrushingEarth,Crushing Earth
skillDefiance,Defiance
skillElectricShock,Electric Shock
skillEnhancedRabies,Enhanced Rabies
skillEnhancedTrample,Enhanced Trample
skillEnhancedWolfPack,Enhanced Wolf Pack
skillEnvenom,Envenom
skillLupineFerocity,Lupine Ferocity
skillNaturalDisaster,Natural Disaster
skillNaturesReach,Nature's Reach
skillOverload,Overload
skillPerfectStorm,Perfect Storm
skillPrimalLandslide,Primal Landslide
skillPrimalShred,Primal Shred
skillQuickshift,Quickshift
skillResonance,Resonance
skillStoneGuard,Stone Guard
skillSupremeLacerate,Supreme Lacerate
skillUrsineStrength,Ursine Strength
skillWildImpulses,Wild Impulses
