control,name
skillAvalanche,Avalanche 
skillCombustion,Combustion
skillConjurationMastery,Conjuration Mastery
skillDevouringBlaze,Devouring Blaze
skillElementalDominance,Elemental Dominance
skillEnchantmentFireBolt,Enchantment (Fire Bolt)
skillEndlessPyre,Endless Pyre
skillEnhancedBlizzard,Enhanced Blizzard
skillEnhancedFirewall,Enhanced Firewall
skillEnhancedFrozenOrb,Enhanced Frozen Orb
skillEnhancedSpark,Enhanced Spark
skillEsusFerocityCSC,Esu's Ferocity (CSC)
skillEsusFerocityCSD,Esu's Ferocity (CSD)
skillGlassCannon,Glass Cannon
skillGlintingFireBolt,Glinting Fire Bolt
skillGreaterChainLightning,Greater Chain Lightning
skillGreaterChargedBolts,Greater Charged Bolts
skillHoarfrost,Hoarfrost
skillIceShardsvsFrozen,Ice Shards vs Frozen
skillIcyTouch,Icy Touch
skillInnerFlames,Inner Flames
skillPermafrost,Permafrost
skillSummonedLightningSpear,Summoned Lightning Spear
skillVyrsMastery,Vyr's Mastery
