control,name
skillAcolytesDecompose,Acolyte's Decompose
skillAmplifyDamage,Amplify Damage
skillBloodSurge,Blood Surge
skillCoalescedBlood,Coalesced Blood
skillCompoundFracture,Compound Fracture
skillDeathsEmbrace,Death's Embrace
skillDeathsReach,Death's Reach
skillEvulsion,Evulsion
skillFueledbyDeath,Fueled by Death
skillGloom,Gloom
skillGolemMastery,Golem Mastery
skillHellbentCommander,Hellbent Commander
skillImperfectlyBalanced,Imperfectly Balanced
skillOssifiedEssence,Ossified Essence
skillPlaguedCorpseExplosion,Plagued Corpse Explosion
skillSacrificeGolemIron,Sacrifice Golem (Iron)
skillSacrificeMagesBone,Sacrifice Mages (Bone)
skillSacrificeMagesCold,Sacrifice Mages (Cold)
skillSacrificeWarriorsReapers,Sacrifice Warriors (Reapers)
skillSacrificeWarriorsSkirmishers,Sacrifice Warriors (Skirmishers)
skillShadowBlight,ShadowBlight
skillSkeletalMageMastery,Skeletal Mage Mastery
skillSkeletalWarriorMastery,Skeletal Warrior Mastery
skillSupernaturalBlight,Supernatural Blight
skillSupernaturalBloodSurge,Supernatural Blood Surge
skillSupernaturalSever,Supernatural Sever
skillTerror,Terror
skillTidesofBlood,Tides of Blood
skillMementoMori,Memento Mori
