control,name
CriticalStrikeChance,Critical Strike Chance
CriticalStrikeChancevsInjured,Critical Strike Chance vs Injured
CriticalStrikeDamage,Critical Strike Damage
CriticalStrikeDamagevsCC,Critical Strike Damage vs CC
CriticalStrikeDamagevsVulnerable,Critical Strike Damage vs Vulnerable
CriticalStrikeDamagewithCold,Critical Strike Damage with Cold
CriticalStrikeDamagewithCore,Critical Strike Damage with Core
CriticalStrikeDamagewithImbued,Critical Strike Damage with Imbued
CriticalStrikeDamagewithPoison,Critical Strike Damage with Poison
CriticalStrikeDamagewithShadow,Critical Strike Damage with Shadow
VulnerableDamage,Vulnerable Damage
OverpowerChance,Overpower Chance
OverpowerDamage,Overpower Damage
BaseHealth,Base Health
Fortify,Fortify
