control,name
AllDamage,All Damage
DamageVsBurning,Damage Vs Burning
DamageVsCC,Damage Vs CC
DamageVsChilled,Damage Vs Chilled
DamageVsClose,Damage Vs Close
DamageVsDistant,Damage Vs Distant
DamageVsElites,Damage Vs Elites
DamageVsFrozen,Damage Vs Frozen
DamageVsHealthy,Damage Vs Healthy
DamageVsImmobilized,Damage Vs Immobilized
DamageVsInjured,Damage Vs Injured
DamageVsSlowed,Damage Vs Slowed
DamageVsStunned,Damage Vs Stunned
DamagewhileHealthy,Damage while Healthy
DamagewithBasic,Damage with Basic
DamagewithBurning,Damage with Burning
DamagewithConjuration,Damage with Conjuration
DamagewithCold,Damage with Cold
DamagewithCore,Damage with Core
DamagewithCracklingEnergy,Damage with Crackling Energy
DamagewithFire,Damage with Fire
DamagewithFrost,Damage with Frost
DamagewithLightning,Damage with Lightning
DamagewithPyromancy,Damage with Pyromancy
DamagewithShock,Damage with Shock
